,api,reported_fluid_type,lease_name,well_num,6mo_oil,6mo_time,1_mo_oil,1_mo_gas,2_mo_oil,2_mo_gas,cum_oil,cum_gas,formation,top_d,btm_d,operator,basin,td,tvd,elevation,spud_date,surf_lat,surf_long,btm_lat,btm_long,stages,total_prop,total_fluid_pumped,reported_ll,stages_2,stage_delta,initial_GOR
3024,42255333770000,O,A BANDUCH C,1H,166799,6,33269.0,25041.0,32919.0,29585.0,609842,660735,EAGLE FORD,11052.0,17519.0,BHP BILLITON PETROLEUM(TXLA OP) CO,KARNES FAULT ZONE (GULF COAST BASIN),17620,11282,351.0,2013-12-13,29.004247200000002,-97.86448440000001,28.988263300000003,-97.8553386,2.0,6358000.0,156401.0,6385.0,1.0,1.0,752.6826775677057
6315,42255319410000,O,A F O UNIT,3H,48994,6,18100.0,15743.0,18061.0,23154.0,167939,207884,EAGLE FORD,10822.0,15506.0,EOG RESOURCES INC,KARNES FAULT ZONE (GULF COAST BASIN),15616,10499,348.0,2011-06-23,29.069191600000003,-97.85889449999999,29.055391200000003,-97.85150759999999,2.0,6548000.0,83255.0,5045.0,1.0,1.0,869.7790055248619
3026,42255323070000,O,A GREAVES A,1H,24973,6,858.0,1590.0,1233.0,1574.0,245126,242618,EAGLE FORD,12089.0,17445.0,PETROHAWK OPERATING CO,KARNES FAULT ZONE (GULF COAST BASIN),17522,12253,308.0,2012-03-02,28.957369399999997,-97.8458778,28.9470919,-97.83388120000001,2.0,3482000.0,83206.0,5210.0,1.0,1.0,1853.1468531468531
3027,42255323090000,O,A GREAVES B,1H,18934,6,1089.0,1044.0,1458.0,1402.0,195355,264757,EAGLE FORD,12170.0,16073.0,PETROHAWK OPERATING CO,KARNES FAULT ZONE (GULF COAST BASIN),16148,11627,283.0,2012-02-06,28.9573333,-97.8458278,28.967748699999998,-97.854299,2.0,2532000.0,59399.0,3964.0,1.0,1.0,958.6776859504132
5096,42123327110000,O,A J BAKER A,2H,163237,6,7994.0,8649.0,27020.0,32665.0,447166,790612,EAGLE FORD,12373.0,17050.0,GEOSOUTHERN ENERGY CORP,KARNES FAULT ZONE (GULF COAST BASIN),17116,12572,453.0,2012-03-02,29.132542600000004,-97.5691115,29.124479700000002,-97.5572729,2.0,3074000.0,69141.0,4663.0,1.0,1.0,1081.9364523392544
10,42123346200000,O,A MUELLER A-KOEHLER SW A,1,214584,6,43110.0,91052.0,57767.0,131899.0,288682,718693,EAGLE FORD,13069.0,20919.0,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),21083,12864,447.0,2018-10-12,29.098811100000002,-97.5839611,29.08805,-97.5599222,2.0,25926000.0,548763.0,8144.0,1.0,1.0,2112.0853630248203
11,42123346210000,O,A MUELLER A-KOEHLER SW B,1,171701,6,43763.0,90189.0,52848.0,128587.0,242517,656484,EAGLE FORD,12996.0,21131.0,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),21381,12980,447.0,2018-10-12,29.0988583,-97.5839306,29.088002799999998,-97.5598083,2.0,26042000.0,547641.0,8347.0,1.0,1.0,2060.8504901400725
12,42123346220000,O,A MUELLER A-KOEHLER SW C,1,190316,6,43657.0,83754.0,58119.0,122032.0,261223,549871,EAGLE FORD,12898.0,21073.0,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),21235,12916,447.0,2018-10-08,29.098955600000004,-97.5838694,29.088705600000004,-97.5596111,2.0,25882000.0,545954.0,8247.0,1.0,1.0,1918.4552305472205
13,42123346230000,O,A MUELLER A-KOEHLER SW D,1,254412,6,46356.0,91953.0,58317.0,126736.0,356015,810855,EAGLE FORD,12934.0,21157.0,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),21314,12910,446.0,2018-10-14,29.098763899999998,-97.5839917,29.0874028,-97.56028609999998,2.0,26224000.0,545511.0,8186.0,1.0,1.0,1983.626714988351
518,42123337340000,O,A MUELLER UNIT A,2,71951,6,14638.0,25854.0,15325.0,27825.0,285068,577325,EAGLE FORD,13269.0,17848.0,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),18010,12575,437.0,2015-02-18,29.087261100000003,-97.5762172,29.094792600000005,-97.5876286,2.0,6026000.0,86886.0,0.0,1.0,1.0,1766.2248941112173
1040,42123339130000,O,A MUELLER UNIT B,6,117891,6,8846.0,14962.0,23050.0,43082.0,373936,890983,EAGLE FORD,12939.0,18114.0,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),18263,12696,343.0,2015-08-31,29.136905600000006,-97.5405389,29.129137699999998,-97.5241392,2.0,9652000.0,166569.0,5408.0,1.0,1.0,1691.3859371467329
3028,42013354470000,O,A RANCH UNIT,1H,70606,6,10405.0,5624.0,15400.0,8678.0,159282,114075,EAGLE FORD,8165.0,14945.0,CINCO OIL & GAS LLC,KARNES FAULT ZONE (GULF COAST BASIN),15012,8285,519.0,2017-03-27,28.784088899999997,-98.6289111,28.765268100000004,-98.6211864,2.0,14966000.0,0.0,6560.0,1.0,1.0,540.5093704949544
15,42255319310000,G,A VAUGHN UNIT A,1,82215,6,1203.0,6283.0,6704.0,32343.0,243366,1515931,EAGLE FORD,13394.0,17984.0,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),18230,13120,256.0,2011-05-07,28.925486100000004,-97.75692590000001,28.9127029,-97.7505793,2.0,735168.0,85062.0,4901.0,1.0,1.0,5222.776392352453
3029,42123329600000,O,A WITTE A,1H,63782,6,1051.0,884.0,21334.0,32449.0,125845,221361,EAGLE FORD,12537.0,17600.0,GEOSOUTHERN ENERGY CORP,KARNES FAULT ZONE (GULF COAST BASIN),17701,12151,361.0,2012-12-29,29.335819300000004,-97.2848723,29.350464600000002,-97.2844188,1.0,5900000.0,0.0,5018.0,1.0,0.0,841.1037107516651
3031,42177337820100,O,ACADIA A,1H,110042,6,24699.0,31516.0,24741.0,32289.0,233581,511628,EAGLE FORD,12159.0,19134.0,EOG RESOURCES INC,KARNES FAULT ZONE (GULF COAST BASIN),19188,11515,303.0,2017-03-29,29.312530600000002,-97.3500056,29.325876399999995,-97.3624105,2.0,19952000.0,420086.0,0.0,2.0,0.0,1276.0030770476537
5097,42177337830000,O,ACADIA B,2H,129260,6,34561.0,46177.0,34917.0,46569.0,250401,478404,EAGLE FORD,12038.0,18943.0,EOG RESOURCES INC,KARNES FAULT ZONE (GULF COAST BASIN),18995,11521,302.0,2017-04-04,29.312486100000005,-97.34991670000001,29.325404,-97.3633228,4.0,19560000.0,404578.0,0.0,3.0,1.0,1336.1013859552675
6318,42177337840000,O,ACADIA C,3H,101944,6,39479.0,54061.0,31469.0,45675.0,197290,353991,EAGLE FORD,11955.0,18512.0,EOG RESOURCES INC,KARNES FAULT ZONE (GULF COAST BASIN),18563,11552,301.5,2017-02-24,29.3124417,-97.3498333,29.3247528,-97.3638996,2.0,18260000.0,351196.0,0.0,2.0,0.0,1369.360926061957
7230,42177337850000,O,ACADIA D,4H,140438,6,43769.0,56006.0,37951.0,51095.0,253643,424009,EAGLE FORD,11918.0,18352.0,EOG RESOURCES INC,KARNES FAULT ZONE (GULF COAST BASIN),18403,11556,300.5,2017-04-30,29.3124,-97.3497444,29.324394399999996,-97.36476390000001,3.0,16780000.0,344416.0,6370.0,2.0,1.0,1279.5814389179557
8724,42177339010000,O,ACADIA F,6H,100984,6,8171.0,10684.0,43039.0,64118.0,157244,336089,EAGLE FORD,11942.0,19614.0,EOG RESOURCES INC,KARNES FAULT ZONE (GULF COAST BASIN),19677,11513,305.0,2018-03-01,29.3116472,-97.3505667,29.3257152,-97.3691075,1.0,18564000.0,377130.0,7612.0,2.0,-1.0,1307.5510953371681
9204,42177339020000,O,ACADIA G,7H,110680,6,9790.0,12936.0,42200.0,62151.0,169960,314366,EAGLE FORD,11990.0,19591.0,EOG RESOURCES INC,KARNES FAULT ZONE (GULF COAST BASIN),19940,11522,305.5,2018-03-15,29.3116917,-97.3506556,29.3253529,-97.3702507,1.0,17634000.0,325923.0,7876.0,3.0,-2.0,1321.3483146067415
9579,42177339030000,O,ACADIA H,8H,130790,6,10154.0,12785.0,43830.0,62911.0,220149,421968,EAGLE FORD,12033.0,19789.0,EOG RESOURCES INC,KARNES FAULT ZONE (GULF COAST BASIN),19927,11519,305.5,2018-04-01,29.311736100000005,-97.3507417,29.3250141,-97.3709692,1.0,18434000.0,375019.0,7871.0,3.0,-2.0,1259.1097104589323
16,42177328180000,O,ADAMEK UNIT A,1,48004,6,1548.0,2399.0,9750.0,17519.0,141272,388709,EAGLE FORD,12389.0,18763.0,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),18981,12484,324.0,2013-01-18,29.36115,-97.27162220000001,29.350392699999997,-97.25711379999998,2.0,6728000.0,89574.0,6403.0,1.0,1.0,1549.7416020671835
17,42123328640000,O,ADAMEK UNIT B,1,52158,6,979.0,894.0,5777.0,10252.0,152813,382957,EAGLE FORD,12757.0,18033.0,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),18237,12197,351.0,2012-11-08,29.3636917,-97.2505611,29.3796659,-97.25612070000001,2.0,5518000.0,88013.0,5518.0,1.0,1.0,913.1767109295199
521,42123336290000,O,ADAMS UNIT A,2,201528,6,9144.0,20230.0,38408.0,92901.0,679353,1832724,EAGLE FORD,13363.0,19543.0,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),19692,12664,365.1,2015-01-20,29.096380600000003,-97.5470669,29.1027685,-97.5665965,2.0,12172000.0,211829.0,6443.0,1.0,1.0,2212.3797025371828
3032,42255323500000,O,ADAMS-TIPTON UNIT,1H,62962,6,6191.0,10535.0,18069.0,24298.0,187899,281126,EAGLE FORD,12438.0,17868.0,MARATHON OIL EF LLC,KARNES FAULT ZONE (GULF COAST BASIN),17974,11858,373.4,2012-03-04,28.838725,-97.96596159999999,28.8551401,-97.9724307,36.0,5168700.0,96060.0,5665.0,18.0,18.0,1701.6637053787756
19,42177323490000,O,ADELE DUBOSE,1,80960,6,18405.0,22930.0,22316.0,23552.0,355404,776059,EAGLE FORD,12308.0,17560.0,ROSETTA RESOURCES OPERATING LP,KARNES FAULT ZONE (GULF COAST BASIN),17670,11569,412.0,2011-10-06,29.1585854,-97.57861700000001,29.173639299999998,-97.5884748,15.0,3858000.0,65376.0,5688.0,56.0,-41.0,1245.857104047813
20,42177328630000,O,ADELE DUBOSE UNIT A,1,29411,6,16971.0,27486.0,12335.0,26509.0,109662,189264,EAGLE FORD,12094.0,16815.0,ROSETTA RESOURCES OPERATING LP,KARNES FAULT ZONE (GULF COAST BASIN),16920,11531,328.0,2013-04-03,29.146388899999998,-97.5905556,29.1606434,-97.5961188,16.0,3649000.0,75608.0,4997.0,15.0,1.0,1619.586353190737
863,42123346990000,G,ADIX A 4,4,109069,6,30155.0,130461.0,27699.0,143463.0,139224,777633,EAGLE FORD,13656.0,18150.0,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),18270,13404,478.0,2018-12-09,29.057775,-97.5683444,29.0522501,-97.5557722,2.0,11992000.0,211070.0,0.0,1.0,1.0,4326.347206101807
964,42123347010000,G,ADIX A 5,5,73278,6,24865.0,117145.0,24500.0,132247.0,98143,637620,0,0.0,0.0,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),18409,13499,478.0,2018-12-07,29.057825,-97.56831940000001,29.0530154,-97.5553845,2.0,12348000.0,220436.0,,,,4711.240699778806
1042,42123347000000,G,ADIX A 6,6,64338,6,30563.0,126115.0,22793.0,114733.0,94901,528294,EAGLE FORD,0.0,0.0,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),18110,13332,477.0,2018-12-06,29.057875,-97.5682917,29.053040600000003,-97.5555068,2.0,11362000.0,201194.0,0.0,1.0,1.0,4126.394660210058
1102,42123346980000,G,ADIX A 7,7,92524,6,27470.0,112579.0,19385.0,106850.0,119994,656411,EAGLE FORD,13486.0,18253.0,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),18369,13415,476.0,2018-12-05,29.057925,-97.5682667,29.0536962,-97.5553116,2.0,12652000.0,224307.0,0.0,1.0,1.0,4098.25263924281
734,42123333980000,G,ADIX UNIT A,3,105490,6,13962.0,64205.0,17215.0,86219.0,391702,2242990,EAGLE FORD,13685.0,18690.0,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),18875,13494,494.0,2014-01-10,29.0605524,-97.57051109999999,29.0544756,-97.5549572,2.0,7492000.0,106886.0,5259.0,1.0,1.0,4598.553215871651
21,42311342720000,O,AERY,1,57482,6,793.0,829.0,10621.0,1271.0,157777,268533,EAGLE FORD,11190.0,17864.0,TALISMAN ENERGY USA INC,KARNES FAULT ZONE (GULF COAST BASIN),18025,11257,262.0,2010-11-15,28.499893,-98.5024198,28.4804847,-98.5023493,20.0,6645160.0,109526.0,6708.0,19.0,1.0,1045.3972257250946
9206,42177324690000,O,AHLHORN NAJVAR UNIT,7H,32457,6,9888.0,4538.0,11654.0,7153.0,102673,89058,EAGLE FORD,9915.0,14810.0,EOG RESOURCES INC,KARNES FAULT ZONE (GULF COAST BASIN),14897,9366,261.0,2012-02-25,29.351888899999995,-97.4331,29.3669255,-97.4355067,2.0,5014000.0,89509.0,4913.0,1.0,1.0,458.9401294498382
23,42255324250000,O,AHLSTROM UNIT B,1,22865,6,1112.0,691.0,4956.0,7986.0,52918,217322,EAGLE FORD,11710.0,16284.0,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),16496,11497,449.0,2012-07-20,28.802777799999998,-98.05722220000001,28.7907918,-98.0514788,1.0,3758000.0,44127.0,4723.0,1.0,0.0,621.4028776978417
1484,42255327750000,G,ALEXANDER 01,02H,95227,6,1900.0,7599.0,25841.0,87759.0,170805,623816,EAGLE FORD,13191.0,17252.0,PIONEER NATURAL RESOURCES USA INC,KARNES FAULT ZONE (GULF COAST BASIN),17381,12992,340.2,2012-10-22,28.857094399999998,-97.81174720000001,28.865708,-97.821703,2.0,3348000.0,55884.0,4007.0,1.0,1.0,3999.4736842105262
3035,42311346000000,G,ALEXANDER MURPHY,1H,50670,6,8714.0,36381.0,11625.0,57745.0,127613,640767,EAGLE FORD,11946.0,15951.0,PETROHAWK OPERATING CO,RIO GRANDE EMBAYMENT (GULF COAST BASIN),16053,11682,340.0,2011-09-16,28.381911100000004,-98.6216106,28.3952761,-98.6217303,2.0,2470000.0,56437.0,3922.0,1.0,1.0,4175.005737893046
10240,42255359460100,G,ALEXANDER-WESSENDORFF 2 (SA) A2,A2H,90309,6,21693.0,151329.0,25226.0,194685.0,123971,1090325,AUSTIN /CHALK/ GROUP/,13602.0,20653.0,EQUINOR TEXAS ONSHORE PROP LLC,KARNES FAULT ZONE (GULF COAST BASIN),20810,13224,275.0,2018-11-30,28.8373636,-97.7792186,28.8206614,-97.7648545,2.0,10704000.0,349074.0,7123.0,6.0,-4.0,6975.936938182824
3037,42255324830000,O,ALICE MAY UNIT,1H,86869,6,13086.0,9240.0,16467.0,0.0,317877,414794,EAGLE FORD,12567.0,17125.0,MURPHY EXPLORATION & PRODUCTION CO-USA,KARNES FAULT ZONE (GULF COAST BASIN),17272,12396,298.0,2012-07-22,28.939288899999998,-97.8564444,28.928616100000003,-97.84474190000002,3.0,6108000.0,199419.0,4793.0,1.0,2.0,706.0981201283814
4852,42311368040000,O,ALLEN MCM,1HA,69676,6,14072.0,27775.0,23306.0,63250.0,125044,329933,EAGLE FORD,11614.0,19615.0,SEA EAGLE FORD LLC,RIO GRANDE EMBAYMENT (GULF COAST BASIN),19750,11069,310.55,2018-04-21,28.4040869,-98.63147679999999,28.4310772,-98.6315792,2.0,18066000.0,352020.0,8171.0,1.0,1.0,1973.777714610574
8106,42177327170000,O,ALLEN PAGEL UNIT,5H,76818,6,15356.0,8287.0,23267.0,12413.0,286561,318294,EAGLE FORD,9950.0,15282.0,EOG RESOURCES INC,KARNES FAULT ZONE (GULF COAST BASIN),15371,10125,280.0,2012-12-16,29.238310300000002,-97.5620349,29.226001,-97.55052950000001,2.0,10492000.0,160491.0,5230.0,1.0,1.0,539.6587653034644
5101,42177327160000,O,ALLEN TRUST UNIT,2H,68639,6,13195.0,7797.0,20508.0,11483.0,214661,122395,EAGLE FORD,9962.0,15127.0,EOG RESOURCES INC,KARNES FAULT ZONE (GULF COAST BASIN),15234,10159,266.0,2012-12-01,29.2354472,-97.56214440000001,29.2239719,-97.552562,2.0,9452000.0,136452.0,5154.0,1.0,1.0,590.9056460780598
3039,42255333590000,O,ALLEN UNIT,1H,56119,6,3330.0,2244.0,24041.0,17279.0,155372,156782,EAGLE FORD,10098.0,14330.0,EOG RESOURCES INC,KARNES FAULT ZONE (GULF COAST BASIN),14635,9506,392.2,2013-10-30,29.0560805,-97.92914449999999,29.0417769,-97.933903,2.0,6498000.0,115550.0,4612.0,1.0,1.0,673.8738738738739
26,42255320170000,O,ALLEN UNIT A,1,125844,6,435.0,1223.0,1292.0,939.0,360564,717546,EAGLE FORD,12953.0,18313.0,BURLINGTON RESOURCES O&G CO LP,KARNES FAULT ZONE (GULF COAST BASIN),18520,12381,318.0,2011-09-18,28.9733995,-97.7644654,28.983861100000002,-97.7771403,2.0,724933.0,84551.0,5482.0,1.0,1.0,2811.4942528735633
5103,42255331210000,O,ALLMAN UNIT,2H,108218,6,17489.0,18582.0,34680.0,37737.0,266807,364867,EAGLE FORD,11600.0,14800.0,EOG RESOURCES INC,KARNES FAULT ZONE (GULF COAST BASIN),15222,11264,513.0,2013-05-11,29.101175,-97.67755,29.111256899999997,-97.68044029999999,2.0,8372000.0,129492.0,3370.0,1.0,1.0,1062.4964263251186
5104,42255321550000,O,ALTON UNIT,2H,58926,6,23711.0,29808.0,14551.0,21319.0,299309,360997,EAGLE FORD,11195.0,15582.0,EOG RESOURCES INC,KARNES FAULT ZONE (GULF COAST BASIN),15674,10695,434.0,2011-11-07,29.0639972,-97.7517722,29.073996100000002,-97.76271340000001,2.0,6638000.0,80684.0,4333.0,1.0,1.0,1257.138037197925
3043,42493326670000,O,ALVIN MOCZYGEMBA A,1H,41751,6,1791.0,295.0,11730.0,2819.0,100344,25893,EAGLE FORD,9040.0,18710.0,HUNT OIL CO,KARNES FAULT ZONE (GULF COAST BASIN),18873,7833,385.0,2012-07-23,29.030836100000002,-98.0347056,29.0546994,-98.0535537,2.0,9386000.0,143490.0,9971.0,1.0,1.0,164.71245114461195
5105,42255321380000,O,ALVIN NK UNIT,2H,57680,6,5075.0,1206.0,18230.0,1912.0,156509,176631,EAGLE FORD,10870.0,15700.0,PLAINS EXPLORATION & PRODUCTION CO,KARNES FAULT ZONE (GULF COAST BASIN),16165,10384,308.0,2011-12-19,28.9578028,-98.0263528,28.972061100000005,-98.0345056,36.0,5695320.0,91297.0,5206.0,18.0,18.0,237.63546798029557
3045,42493327380000,O,AMBROSE URBANCZYK,1H,27756,6,2479.0,226.0,5451.0,1081.0,84710,20001,EAGLE FORD,8469.0,11195.0,HUNT OIL CO,KARNES FAULT ZONE (GULF COAST BASIN),11303,7979,375.8,2013-10-03,29.011938899999997,-98.11573620000001,29.0196635,-98.1208446,2.0,2160000.0,39374.0,2887.0,1.0,1.0,91.16579265832998
5106,42177335990000,O,ANGUS UNIT,2H,135048,6,13802.0,20231.0,45556.0,76949.0,278788,599718,EAGLE FORD,12115.0,15911.0,EOG RESOURCES INC,KARNES FAULT ZONE (GULF COAST BASIN),16000,12237,376.0,2015-05-10,29.1546028,-97.5587,29.147492,-97.5480385,1.0,11462000.0,228790.0,3832.0,1.0,0.0,1465.802057672801
8731,42123327150000,G,ANN FRIAR THOMAS,6H,19190,6,6751.0,50443.0,7217.0,48118.0,56244,404396,EAGLE FORD,13475.0,18312.0,MARATHON OIL EF LLC,KARNES FAULT ZONE (GULF COAST BASIN),18406,12984,294.0,2012-04-22,29.2655472,-97.28590279999999,29.280855199999998,-97.2844875,28.0,3427960.0,76469.0,4994.0,14.0,14.0,7471.930084431936
